user_id,name,affiliation,prev_rank,p_wins,p_win_pct,season_hits,week0_rank,week1_hits,week1_rate,week1_rank,week2_hits,week2_rate,week2_rank,week3_hits,week3_rate,week3_rank,week4_hits,week4_rate,week4_rank,week5_hits,week5_rate,week5_rank,week6_hits,week6_rate,week6_rank,week7_hits,week7_rate,week7_rank,week8_hits,week8_rate,week8_rank,week9_hits,week9_rate,week9_rank,week10_hits,week10_rate,week10_rank,week11_hits,week11_rate,week11_rank,week12_hits,week12_rate,week12_rank,week13_hits,week13_rate,week13_rank,week14_hits,week14_rate,week14_rank,week15_hits,week15_rate,week15_rank,week16_hits,week16_rate,week16_rank,week17_hits,week17_rate,week17_rank
41,Zach Kruse,Bleacher Report,1,0,0,161,135.0,10,15.0,57.0,9,14.25,39.0,12,15.666666666666668,11.0,8,14.875,12.0,12,15.1,23.0,10,16.083333333333332,48.0,9,14.5,77.0,8,13.375,108.0,8,12.777777777777779,104.0,8,12.7,110.0,6,11.545454545454547,114.0,12,13.666666666666668,88.0,9,15.153846153846153,68.0,10,14.178571428571429,95.0,11,15.233333333333334,95.0,9,14.71875,87.0,10,14.235294117647058,103.0
18,Prediction Machine,Prediction Machine,1,0,0,169,135.0,10,15.0,57.0,9,14.25,39.0,10,14.333333333333332,48.0,7,13.0,73.0,12,14.3,54.0,10,15.833333333333332,57.0,11,15.428571428571429,49.0,9,14.875,49.0,10,14.38888888888889,41.0,9,14.35,34.0,7,12.727272727272727,82.0,12,14.333333333333332,65.0,10,15.846153846153847,36.0,10,14.857142857142858,65.0,13,16.46666666666667,54.0,8,15.40625,68.0,12,14.970588235294118,78.0
117,Rivers McCown,Bleacher Report,1,0,0,148,135.0,10,15.0,57.0,9,14.25,39.0,7,12.333333333333332,106.0,5,9.875,123.0,11,12.2,113.0,10,14.833333333333332,90.0,7,12.714285714285715,119.0,8,11.6875,121.0,9,12.722222222222221,107.0,9,13.25,83.0,5,11.09090909090909,121.0,9,11.125,123.0,9,13.153846153846153,116.0,12,14.785714285714285,68.0,7,13.733333333333334,117.0,8,11.71875,122.0,13,14.852941176470587,83.0
120,Gary Mihoces,USA Today,1,0,0,171,135.0,10,15.0,57.0,9,14.25,39.0,10,14.333333333333332,48.0,7,13.0,73.0,12,14.3,54.0,11,16.416666666666668,35.0,11,16.0,27.0,8,14.375,74.0,10,13.88888888888889,59.0,9,14.35,34.0,9,13.818181818181818,32.0,13,15.958333333333332,4.0,7,14.846153846153847,82.0,11,13.892857142857142,106.0,14,17.53333333333333,22.0,9,16.5,22.0,11,15.029411764705882,73.0
46,Cris Carter,ESPN,1,0,0,179,135.0,10,15.0,57.0,7,12.75,73.0,14,15.666666666666668,11.0,7,15.25,7.0,12,14.5,43.0,11,16.583333333333332,26.0,11,16.142857142857142,18.0,10,15.625,16.0,11,15.666666666666668,5.0,10,15.65,3.0,9,14.59090909090909,4.0,11,15.125,25.0,11,16.153846153846153,23.0,11,16.17857142857143,20.0,12,16.733333333333334,43.0,9,15.6875,53.0,13,16.264705882352942,14.0
26,Chris Hansen,Bleacher Report,1,0,0,160,135.0,10,15.0,57.0,5,11.25,110.0,9,11.0,122.0,4,10.0,120.0,11,11.4,118.0,9,14.0,109.0,9,13.071428571428571,111.0,11,14.25,82.0,8,13.722222222222221,68.0,9,12.75,107.0,6,11.636363636363637,113.0,11,12.75,114.0,12,15.884615384615385,33.0,10,15.428571428571429,44.0,14,16.6,49.0,10,16.625,16.0,12,15.705882352941178,38.0
54,Henry Hodgson,NFL,1,0,0,162,135.0,10,15.0,57.0,6,12.0,96.0,12,13.666666666666668,77.0,5,12.625,85.0,10,11.8,116.0,12,15.583333333333332,68.0,11,16.214285714285715,13.0,8,14.125,91.0,9,13.11111111111111,89.0,8,13.05,94.0,8,12.5,91.0,11,14.083333333333332,74.0,9,14.576923076923077,89.0,11,14.642857142857142,77.0,12,16.233333333333334,65.0,7,14.15625,101.0,13,14.764705882352942,88.0
55,Joel Beall,FOX,1,0,0,159,135.0,10,15.0,57.0,6,12.0,96.0,11,13.0,92.0,8,13.875,38.0,10,13.5,80.0,11,15.166666666666668,81.0,6,12.928571428571429,116.0,12,13.625,104.0,11,16.22222222222222,3.0,9,14.7,18.0,8,13.136363636363637,65.0,13,15.291666666666668,17.0,9,15.76923076923077,41.0,10,14.285714285714285,91.0,12,15.866666666666667,79.0,10,15.875,44.0,3,11.176470588235293,122.0
157,FiveThirtyEight,FiveThirtyEight,1,0,0,176,135.0,10,15.0,57.0,9,14.25,39.0,12,15.666666666666668,11.0,10,16.125,3.0,13,16.9,1.0,10,16.833333333333332,16.0,10,15.285714285714285,52.0,11,15.8125,12.0,9,15.222222222222221,13.0,9,14.15,41.0,8,13.545454545454547,45.0,12,15.125,25.0,9,15.576923076923077,48.0,12,15.642857142857142,32.0,12,17.2,33.0,9,15.65625,55.0,11,15.176470588235293,68.0
60,Frank Schwab,Yahoo,1,0,0,162,135.0,10,15.0,57.0,6,12.0,96.0,10,12.333333333333332,106.0,6,12.0,103.0,12,13.4,85.0,10,15.5,70.0,9,14.0,92.0,11,14.625,61.0,9,14.61111111111111,29.0,8,13.05,94.0,7,11.954545454545453,108.0,14,15.166666666666668,22.0,12,17.76923076923077,2.0,10,15.785714285714285,28.0,9,14.266666666666666,111.0,9,13.75,107.0,10,14.264705882352942,101.0
64,Eric Allen,ESPN,1,0,0,167,135.0,10,15.0,57.0,9,14.25,39.0,11,15.0,25.0,7,13.625,53.0,12,14.4,47.0,10,15.916666666666668,56.0,12,16.07142857142857,23.0,9,15.5,22.0,10,14.5,36.0,9,14.45,28.0,8,13.363636363636363,50.0,12,14.958333333333332,33.0,7,14.346153846153847,95.0,11,13.892857142857142,106.0,8,14.333333333333332,110.0,8,12.78125,119.0,14,15.911764705882353,31.0
166,Rod Woodson,Westwood One,1,0,0,166,135.0,10,15.0,57.0,7,12.75,73.0,8,11.666666666666668,117.0,5,10.25,118.0,12,12.7,101.0,12,16.5,31.0,11,16.142857142857142,18.0,8,14.0625,93.0,9,13.055555555555555,93.0,10,14.1,44.0,8,13.545454545454547,45.0,13,15.208333333333332,21.0,10,16.23076923076923,21.0,11,15.285714285714285,49.0,14,17.433333333333334,26.0,7,15.34375,70.0,11,13.882352941176471,113.0
85,Adam Rank,NFL,1,0,0,140,135.0,10,15.0,57.0,7,12.75,73.0,11,13.666666666666668,77.0,6,12.75,78.0,11,13.0,96.0,10,15.083333333333332,83.0,10,14.642857142857142,73.0,10,14.6875,58.0,1,9.722222222222221,122.0,8,8.7,123.0,8,12.181818181818182,103.0,13,14.875,38.0,11,16.46153846153846,12.0,10,15.0,60.0,4,11.333333333333332,123.0,1,6.59375,123.0,9,9.117647058823529,123.0
154,Microsoft Cortana,Microsoft,1,0,0,171,135.0,10,15.0,57.0,9,14.25,39.0,10,14.333333333333332,48.0,5,11.75,108.0,13,13.7,75.0,11,16.833333333333332,16.0,11,15.928571428571429,30.0,10,15.4375,24.0,9,14.38888888888889,41.0,10,14.4,31.0,8,13.818181818181818,32.0,11,14.375,63.0,10,15.384615384615385,61.0,9,14.357142857142858,87.0,13,15.966666666666667,76.0,10,16.46875,23.0,12,16.029411764705884,28.0
144,Dr. Roto,Sirius,1,0,0,173,135.0,10,15.0,57.0,9,14.25,39.0,9,13.666666666666668,77.0,7,12.375,96.0,12,14.2,57.0,13,17.5,2.0,10,16.5,7.0,10,15.0,45.0,11,15.555555555555555,7.0,9,15.0,13.0,9,13.954545454545453,20.0,13,16.083333333333332,2.0,10,16.576923076923077,7.0,9,14.535714285714285,83.0,11,15.066666666666666,101.0,9,15.03125,81.0,12,15.588235294117647,47.0
70,K.C. Joyner,ESPN,1,0,0,176,135.0,10,15.0,57.0,10,15.0,16.0,10,15.0,25.0,8,13.75,46.0,12,15.0,28.0,11,16.583333333333332,26.0,11,16.142857142857142,18.0,12,16.75,3.0,8,15.11111111111111,15.0,9,13.55,69.0,8,13.454545454545453,48.0,13,15.583333333333332,8.0,9,16.03846153846154,26.0,11,15.071428571428571,55.0,14,17.7,12.0,10,17.1875,5.0,10,15.176470588235293,68.0
138,Bart Scott,CBS,1,0,0,166,135.0,10,15.0,57.0,9,14.25,39.0,11,15.0,25.0,7,13.625,53.0,10,13.2,89.0,11,15.333333333333332,77.0,11,15.928571428571429,30.0,8,14.3125,78.0,9,13.277777777777779,84.0,10,14.3,36.0,8,13.727272727272727,36.0,11,14.291666666666668,67.0,10,15.307692307692307,63.0,9,14.285714285714285,91.0,13,15.9,78.0,8,15.34375,70.0,11,14.382352941176471,99.0
141,Brandon Tierney,CBS,1,0,0,158,135.0,10,15.0,57.0,1,8.25,123.0,10,9.0,123.0,6,11.375,112.0,12,12.9,98.0,9,14.5,101.0,10,13.642857142857142,103.0,10,14.25,82.0,9,13.777777777777779,64.0,9,13.3,80.0,9,13.318181818181818,54.0,11,14.416666666666668,59.0,9,14.423076923076923,94.0,10,13.964285714285715,100.0,10,14.5,106.0,11,15.0625,79.0,12,16.147058823529413,20.0
76,Nathan Jahnke,ProFootballFocus,1,0,0,164,135.0,10,15.0,57.0,7,12.75,73.0,10,13.0,92.0,7,12.75,78.0,11,13.5,80.0,9,14.5,101.0,10,14.071428571428571,90.0,10,14.625,61.0,8,13.555555555555555,75.0,8,12.5,113.0,6,11.363636363636363,117.0,12,13.5,94.0,11,16.076923076923077,24.0,11,15.642857142857142,32.0,12,16.233333333333334,65.0,9,15.21875,77.0,13,15.823529411764707,34.0
78,John Breech,CBS,1,0,0,165,135.0,10,15.0,57.0,6,12.0,96.0,9,11.666666666666668,117.0,8,12.625,85.0,12,14.5,43.0,9,15.0,84.0,11,14.642857142857142,73.0,10,15.1875,33.0,7,13.055555555555555,93.0,10,13.1,89.0,8,13.545454545454547,45.0,12,14.666666666666668,47.0,10,15.692307692307693,44.0,10,14.714285714285715,71.0,13,16.333333333333332,61.0,9,15.8125,46.0,11,14.852941176470587,83.0
